"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"443","Cade Smith","sa3015086","CLE","Guardians",3,4,0,61,0,11,NA,61,265,53,30,28,8,70,29,NA,4,4.10608,1.34231,10.2705,4.28222,2.39841,1.12813,0.262245,0.109341,0.152903646230698,NA,0.227744,0.291999,0.729136,4.24257,0.0906386,0.132433,NA,NA,NA,NA,999,5,"AL","sa3015086",""
"444","Luke Weaver","16918","NYY","Yankees",3,3,2,54,0,7,NA,60,261,61,34,31,10,56,19,NA,2,4.66391,1.33444,8.43695,2.85676,2.95333,1.50181,0.215517,0.0729742,0.142542377114296,NA,0.25437,0.293775,0.7047,4.60402,0.0904033,0.0221292,NA,NA,NA,NA,731.309997558594,9,"AL","16918",""
"445","Bryan Hudson","19924","MIL","Brewers",3,3,0,55,0,1,NA,55,238,49,26,24,7,60,25,NA,3,4.0007,1.34598,9.80727,4.04208,2.42629,1.1085,0.251868,0.103808,0.148060455918312,NA,0.234225,0.295734,0.737591,4.16902,0.0902744,0.0995313,NA,NA,NA,NA,999,23,"NL","19924",""
"446","Lyon Richardson","24581","CIN","Reds",1,1,2,12,0,1,NA,18,79,17,11,10,3,18,9,NA,1,4.96578,1.46664,9.08198,4.51288,2.01245,1.41262,0.227184,0.112889,0.114295043051243,NA,0.248329,0.297069,0.699649,4.94223,0.0899196,0.0423997,NA,NA,NA,NA,999,18,"NL","24581",""
"447","Jorge Alcala","19459","MIN","Twins",4,4,0,63,1,12,NA,63,269,57,32,30,9,66,25,NA,3,4.24187,1.30244,9.41727,3.51253,2.68105,1.23975,0.245203,0.0914579,0.153745204210281,NA,0.238013,0.29242,0.71195,4.25794,0.0889927,0.151886,NA,NA,NA,NA,747.960021972656,8,"AL","19459",""
"448","Roansy Contreras","22810","PIT","Pirates",2,3,0,54,0,7,NA,54,230,51,27,25,7,53,19,NA,2,4.21565,1.28382,8.77096,3.13154,2.80085,1.14262,0.22909,0.081793,0.147296644747257,NA,0.241658,0.2919,0.704018,4.10036,0.0877419,0.0675151,NA,NA,NA,NA,665.309997558594,27,"NL","22810",""
"449","Michael Kopech","17282","CHW","White Sox",3,4,0,70,16,8,NA,70,303,61,38,36,11,75,35,NA,3,4.58241,1.38082,9.65989,4.53374,2.13067,1.39121,0.247719,0.116264,0.131455637514591,NA,0.231832,0.282741,0.716047,4.76668,0.0871163,0.090865,NA,NA,NA,NA,423.859985351562,4,"AL","17282",""
"450","Garrett Cleavinger","17897","TBR","Rays",3,3,0,55,0,7,NA,55,233,42,23,22,7,73,27,NA,3,3.53983,1.24946,12.0228,4.38085,2.7444,1.067,0.314859,0.114728,0.200131125748158,NA,0.20642,0.287504,0.763842,3.76807,0.0869377,0.14336,NA,NA,NA,NA,746.049987792969,12,"AL","17897",""
"451","Anthony Veneziano","27453","KCR","Royals",1,2,2,21,0,1,NA,28,122,29,16,15,4,22,11,NA,2,4.76871,1.4466,7.2115,3.69836,1.94992,1.19236,0.180823,0.0927334,0.0880891606211662,NA,0.261639,0.298611,0.694473,4.79354,0.0847221,0.0858052,NA,NA,NA,NA,750.940002441406,7,"AL","27453",""
"452","Bryan Hoeing","26304","MIA","Marlins",2,2,2,37,3,1,NA,44,192,48,24,22,6,32,13,NA,2,4.56152,1.38132,6.5889,2.60111,2.53312,1.16447,0.168256,0.0664226,0.101833492517471,NA,0.272092,0.3054,0.694402,4.48275,0.0845301,0.0833908,NA,NA,NA,NA,999,20,"NL","26304",""
